shared_n	A_index	A_text	A_original_n	B_index	B_text	B_original_n	C_index	C_text	C_original_n	P_index	P_text	P_original_n	R_index	R_text	R_original_n	S_index	S_text	S_original_n
1	1.0	Soredamors prant la chemise		1.0	La roine prent la cemise		1.0	La reine prist la chemise		1.0	La roine prent la cemise		1.0	La roine prist la chemise		1.0	La reine prent la chemise	
2	2.0	Si l'a Alixandre tramise		2.0	Si l'a alixandre tramise		2.0	Si l'a Alixandre tramise		2.0	Si l'a Alixandre tramise		2.0	Si l'a alixandre tramise		2.0	Si l'a Alixandre tramisse	
3	3.0	Et Dex com grant joie an eust		3.0	Ha! Dex! Com grant joie en eust		3.0	Et Dex com grant joie en eust		3.0	Ha Diex com grant joie en eust		3.0	Ha dex com grant joie en eust		3.0	He Dex com grant joie en aust	
4	4.0	Alixandre s'il le seust		4.0	[192a] alixandre s'il le seust		4.0	Alixandre se il seust		4.0	Alixandre se il seust		4.0	Alixande s'il seust		4.0	Alixandre se il lo saust	
5	5.0	Que la reine li anvoie		5.0	Que la roine li envoie!		5.0	Que la reine li envoie		5.0	Que la roine li envoie		5.0	Que la roine li envoie		5.0	Que la roine li envoie	
6	6.0	Molt an reust cele grant joie		6.0	Molt en eust cele de joie		6.0	Molt en reust cele grant joie		6.0	Molt en reust cele gran joie		6.0	Molt en reust cele grant joie		6.0	Molt en aust cele grant joie	
7	7.0	Qui son chevol i avoit mis		7.0	Que son cavel i avoit mis		7.0	Qui son chevol i avoit mis		7.0	Qui son cavel i avoit mis		7.0	Que son cheval i avoit mis		7.0	Qui son chevel i avoit mis	
8	8.0	S'ele seust que ses amis		8.0	S'ele seust que ses amis		8.0	S'ele seust que ses amis		8.0	S'ele seust que ses amis		8.0	S'ele seust que ses amis		8.0	S'ele saust que ses amis	
9	9.0	La deust avoir ne porter		9.0	La deust avoir et porter		9.0	La deust avoir et porter		9.0	Le deust avoir ne porter		9.0	La deust avoir et porter		9.0	Lo deust avoir ne porter	
10	10.0	Molt s'an deust reconforter		10.0	Molt s'en deust reconforter		10.0	Molt se poist reconforter		10.0	Molt se peust reconforter		10.0	Molt s'en peust reconforter		10.0	Molt s'en poist reconforter	
11	11.0	Car ele n'amast mie tant		11.0	Car ele n'amast mie tant		11.0	Car ele n'amast mie tant		11.0	Car ele n'amast mie tant		11.0	Quar ele n'emmast mie tant		11.0	Car elle n'amast mie tant	
12	12.0	De ses chevoz le remenant		12.0	De ses cavex le remanant		12.0	Ne ses cheveus le remanant		12.0	De ses cavels le remanant		12.0	De ses chevels le remanant		12.0	De ses cheveuz lo remant	
13	13.0	Com celui qu'Alixandre ot		13.0	Com celui q'alixandre ot		13.0	Com celui qu'Alixandre ot		13.0	Com celui k'Alixandre eut		13.0	Com celui qu'alixandre out		13.0	Com celui qu'Alixandre ot	
14	14.0	Mes cil ne cele ne le sot		14.0	Mais cil et cele n'en sent mot		14.0	Mais cil ne cele n'en set mor		14.0	Mais cil ne cele ne le seut		14.0	Mais cil ne cele n'en set mot		14.0	Mais cil ne sele ne lo sot	
15	15.0	Cest granz enuiz que il nel sevent		15.0	Ce est grant dolor qu'il le sevent		15.0	S'est granz ennuiz quant il nel sevent		15.0	Cest grans anuis quant il nel sevent		15.0	Cest grant ennuis quant il ne sevent		15.0	Cest granz enuis quant il ne sevent	
16	16.0	Au port ou il vaslet se levent		16.0	Al port u li vallet se levent		16.0	Au port ou li vallet se levent		16.0	Au port u li valler se levent		16.0	Al port ou li vaslet se levent		16.0	O ou port ou li vallet se levent	
17	17.0	Vint li messages la reine		17.0	Vint li message la roine		17.0	Vint li messages la reine		17.0	Vint li messages la roine		17.0	Vint li messages la roine		17.0	Vint li vallez a la reine	
18	18.0	Le vaslet trueve an la marine		18.0	Le valles trove en la gaudine		18.0	Le vallet trueve en la marine		18.0	Les valles trueve en la marine		18.0	Les vaslez trueve en la marine		18.0	Les vallez trove soz la rive	
